지역,현재일기,시정,운량,중하운량,현재기온,이슬점온도,불쾌지수,일강수,습도,풍향,풍속,해면기압
밀양,NA,20 이상,NA,NA,31.3,13.5,77,NA,34,정온,NA,1011.8
백령도,약한 비 단속적,17.2,10,3,17.9,16.5,64,0.6,92,동남동,NA,1012.1
보령,NA,20 이상,NA,NA,23.8,14.2,71,NA,55,남서,NA,1012.2
보성군,NA,20 이상,NA,NA,27.8,12.5,74,NA,39,서남서,NA,1012.9
보은,NA,20 이상,NA,NA,27.4,13.7,74,NA,43,북동,NA,1012.7
봉화,NA,20 이상,NA,NA,22.7,11.7,69,NA,50,남남서,NA,1012.8
부산,구름조금,20 이상,3,0,23.5,16.7,71,NA,66,남남서,NA,1012.6
부안,NA,20 이상,NA,NA,26.1,17.9,74,NA,61,북서,NA,1013.1
부여,NA,19.5,NA,NA,28.5,8.7,73,NA,29,서북서,NA,1013.5
북강릉,구름많음,20 이상,8,8,25.5,12.6,72,NA,45,남동,NA,1010.5
북창원,NA,20 이상,NA,NA,28.9,20.3,78,NA,60,남남서,NA,1012.8
북춘천,흐림,20 이상,10,8,21.8,15.6,69,NA,68,남서,NA,1013.6
산청,NA,19.0,NA,NA,28.3,20.0,78,NA,61,동,NA,1012.5
상주,NA,20 이상,NA,NA,28.2,16.1,76,NA,48,정온,NA,1012.5
서귀포,구름많음,20 이상,6,0,23.6,20.5,73,NA,83,남,NA,1014.3
서산,NA,15.2,NA,NA,26.0,9.7,71,NA,36,남서,NA,1013.1
서울,구름많음,20 이상,7,7,23.6,15.6,71,0.0,61,동,NA,1013.0
성산,NA,20 이상,NA,NA,23.4,21.4,73,NA,89,남남동,NA,1014.1
세종,NA,20 이상,NA,NA,27.1,10.3,73,NA,35,서,NA,1012.5
속초,NA,20 이상,NA,NA,27.5,12.6,74,0.0,40,서남서,NA,1010.6
수원,구름조금,19.8,4,0,25.6,13.7,72,0.0,48,남남동,NA,1013.2
순창군,NA,17.6,NA,NA,29.8,12.2,76,NA,34,남서,NA,1011.9
순천,NA,15.9,NA,NA,27.1,19.1,76,NA,62,남,NA,1011.7
안동,구름조금,19.2,3,3,27.0,13.3,74,NA,43,서북서,NA,1013.2
양산시,NA,16.9,NA,NA,27.1,18.3,76,NA,59,남남서,NA,1013.1
양평,NA,17.6,NA,NA,22.1,13.9,69,0.0,60,남남서,NA,1014.4
여수,맑음,19.2,0,0,24.7,17.9,73,NA,66,남서,NA,1013.8
영광군,NA,20 이상,NA,NA,27.5,16.7,75,NA,52,서남서,NA,1012.8
영덕,NA,20 이상,NA,NA,27.1,13.4,74,NA,43,서,NA,1012.1
영월,NA,20 이상,NA,NA,23.9,12.5,70,0.0,49,북,NA,1012.9
영주,NA,19.0,NA,NA,25.4,13.5,72,NA,48,서북서,NA,1013.2
영천,NA,20 이상,NA,NA,28.6,14.4,75,NA,42,서,NA,1012.8
완도,NA,20 이상,NA,NA,25.1,18.5,74,NA,67,동남동,NA,1013.6
울릉도,구름많음,20 이상,7,4,25.0,16.6,73,NA,60,남남서,NA,1011.4
울산,구름많음,20 이상,7,0,25.4,17.0,73,NA,60,남남동,NA,1012.1
울진,NA,20 이상,NA,NA,26.7,15.4,74,NA,50,서남서,NA,1011.8
원주,NA,19.5,NA,NA,23.4,12.6,70,0.0,51,북동,NA,1013.3
의령군,NA,16.2,NA,NA,30.3,16.3,78,NA,43,남,NA,1012.4
의성,NA,20 이상,NA,NA,28.2,14.7,75,NA,44,서북서,NA,1011.7
이천,NA,11.3,NA,NA,23.6,15.6,71,NA,61,동북동,NA,1013.6
인제,NA,20 이상,NA,NA,22.4,13.9,69,0.0,59,남남서,NA,1013.1
인천,구름많음,20 이상,7,0,22.6,9.7,68,0.0,44,서,NA,1013.2
임실,NA,19.4,NA,NA,28.1,13.2,74,NA,40,남,NA,1012.4
장수,NA,19.9,NA,NA,27.3,13.6,74,NA,43,서남서,NA,1011.8
장흥,NA,20 이상,NA,NA,26.1,14.2,73,NA,48,남동,NA,1013.0
전주,구름많음,20 이상,7,0,29.4,11.8,75,NA,34,서,NA,1012.2
정선군,NA,17.9,NA,NA,21.7,13.5,68,0.0,60,서북서,NA,1013.0
정읍,NA,20 이상,NA,NA,28.9,16.1,76,NA,46,서,NA,1012.3
제주,구름많음,20 이상,6,0,23.9,17.3,72,NA,67,북북동,NA,1013.7
제천,NA,20 이상,NA,NA,23.5,12.7,70,0.0,51,남남서,NA,1013.1
진도군,NA,19.9,NA,NA,26.0,18.6,75,NA,64,남,NA,1012.9
진주,NA,20 이상,NA,NA,27.1,19.4,76,NA,63,남,NA,1013.0
창원,맑음,20 이상,2,0,26.4,16.0,74,NA,53,남남동,NA,1012.9
천안,NA,20 이상,NA,NA,26.6,13.6,73,NA,45,정온,NA,1013.5
철원,NA,20 이상,NA,NA,21.0,18.7,69,0.1,87,남남서,NA,1014.1
청송군,NA,19.6,NA,NA,26.5,12.1,73,NA,41,북동,NA,1013.0
청주,맑음,20 이상,0,0,28.0,10.2,73,NA,33,서북서,NA,1012.8
추풍령,NA,20 이상,NA,NA,27.6,13.5,74,NA,42,서북서,NA,1011.7
춘천,NA,20 이상,NA,NA,22.3,15.1,69,0.0,64,서남서,NA,1013.7
충주,NA,17.7,NA,NA,25.2,14.0,72,NA,50,북동,NA,1013.2
태백,NA,20 이상,NA,NA,22.7,9.1,68,NA,42,남남서,NA,1011.0
통영,NA,18.9,NA,NA,22.4,21.0,72,NA,92,남동,NA,1014.1
파주,NA,20 이상,NA,NA,21.2,17.2,69,0.0,78,북북동,NA,1014.1
포항,구름조금,18.9,3,3,27.3,18.5,76,NA,59,북북동,NA,1012.5
함양군,NA,20 이상,NA,NA,30.5,10.9,76,NA,30,서,NA,1011.6
합천,NA,19.9,NA,NA,29.5,16.3,77,NA,45,남남서,NA,1012.0
해남,NA,13.4,NA,NA,25.9,20.0,75,NA,70,서북서,NA,1013.4
홍성,구름조금,20 이상,3,0,27.0,8.4,72,NA,31,서남서,NA,1012.8
홍천,NA,1.6,NA,NA,21.8,14.1,68,0.0,62,북서,NA,1013.7
흑산도,구름많음,20 이상,8,3,20.6,18.7,68,NA,89,남,NA,1012.6
